,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
10,pygedm,FRBs/pygedm,,"['cpp', 'Fortran', 'python']",analysis,True,https://pygedm.readthedocs.io,https://github.com/FRBs/pygedm,,2019-02-17 13:02:21,2022-12-26 03:35:20,2022-12-26 03:35:20,17.0,3.0,14.0,42.0,239.0,2021-07-19 06:36:45.000,3.3.0,5.0,"Python bindings for YMW16, NE2001 and YT2020 electron density models.",16.0,16.0,9.0,12,,,,,,2.0,,,,
11,frbcat,davidgardenier/frbcat,,['python'],catalog,True,https://github.com/davidgardenier/frbcat,https://github.com/TRASAL/frbcat,MIT,2020-02-19 15:03:56,2023-09-13 06:27:50,2023-09-13 06:27:23,4.0,5.0,4.0,20.0,52.0,2023-09-13 06:27:50.000,0.2.21,6.0,Query Fast Radio Burst catalogues.,6.0,6.0,4.0,11,,,,,,2.0,,TRASAL/frbcat,,
12,rfpipe,realfastvla/rfpipe,,['python'],Search,True,https://realfastvla.github.io/rfpipe/,https://github.com/realfastvla/rfpipe,BSD-3-Clause,2016-07-15 21:01:44,2022-10-31 21:33:46,2022-10-31 21:33:12,5.0,18.0,36.0,10.0,1332.0,,,,Fast radio interferometric transient search pipeline.,5.0,5.0,11.0,11,,,,,,2.0,,,,
13,frbgui,mef51/frbgui,frbgui,"['python', 'jupyter']",analysis,True,https://github.com/mef51/frbgui,https://github.com/mef51/frbgui,MIT,2020-12-20 17:47:46,2024-12-17 20:14:38,2024-12-17 20:14:26,1.0,16.0,12.0,20.0,,2023-09-25 18:31:24.000,0.10.0,4.0,A GUI for measuring properties of Fast Radio Bursts.,2.0,2.0,3.0,10,https://pypi.org/project/frbgui,2023-09-25 18:15:37.000,,92.0,92.0,2.0,1.0,,,
14,sigpyproc3,FRBs/sigpyproc3,,"['python', 'cpp']",I/O,True,https://sigpyproc3.readthedocs.io,https://github.com/FRBs/sigpyproc3,MIT,2020-04-16 17:23:05,2024-10-24 15:00:00,2024-10-24 15:00:00,10.0,6.0,14.0,14.0,,2024-05-04 20:46:02.000,1.2.0,6.0,Python3 version of Ewan Barr's sigpyproc library.,,,11.0,10,,,,,,3.0,,,,
15,Amber,TRASAL/AMBER,,['cpp'],Search,True,http://alert.eu/,https://github.com/TRASAL/AMBER,Apache-2.0,2015-03-27 14:59:41,2020-11-17 12:48:21,2020-11-17 12:48:15,1.0,,13.0,4.0,726.0,2020-09-25 14:26:34.000,3.0.1,3.0,"A many-core transient searching pipeline, designed to search in real-time for Fast Radio Bursts.",,,4.0,10,,,,,,3.0,,,,
16,RFIClean,ymaan4/RFIClean,,['C'],rfi,True,https://github.com/ymaan4/RFIClean,https://github.com/ymaan4/RFIClean,GPL-2.0,2019-11-15 16:16:58,2021-04-23 18:34:12,2021-04-23 18:33:29,5.0,3.0,2.0,16.0,35.0,2021-02-09 17:05:03.000,1.2.0,3.0,Mitigation of periodic as well as narrow-band and spiky/bursty RFI from time-domain filterbank data.,,,,9,,,,,,1.0,,,,
17,single_pulse_ml,liamconnor/single_pulse_ml,,['python'],ML,True,https://github.com/liamconnor/single_pulse_ml,https://github.com/liamconnor/single_pulse_ml,GPL-2.0,2017-05-02 12:17:52,2020-01-13 18:40:36,2020-01-13 18:42:44,7.0,,,15.0,369.0,2018-10-02 11:30:34.000,1.0.0,1.0,,,,30.0,9,,,,,,3.0,,,,
18,psrdada-python,TRASAL/psrdada-python,,['python'],I/O,True,https://trasal.github.io/psrdada-python/index.html,https://github.com/TRASAL/psrdada-python,http://www.apache.org/licenses/LICENSE-2.0,2018-05-07 09:23:43,2024-01-30 10:54:47,2023-08-28 13:06:35,8.0,1.0,3.0,10.0,52.0,2020-07-14 12:16:50.000,0.1.0,2.0,Python bindings to the PSRDada ringbuffer implementation.,,,5.0,9,,,,,,3.0,,,,
19,RFIm,TRASAL/RFIm,,['cpp'],rfi,True,https://github.com/TRASAL/RFIm,https://github.com/TRASAL/RFIm,Apache-2.0,2019-01-11 12:04:09,2022-01-11 13:16:31,2022-01-11 13:16:31,3.0,3.0,3.0,4.0,197.0,2020-07-29 12:27:29.000,1.0,1.0,Radio Frequency Interference (RFI) mitigation algorithms.,,,5.0,9,,,,,,1.0,1.0,,,
20,DM_Phase,danielemichilli/DM_phase,,['python'],analysis,True,https://github.com/danielemichilli/DM_phase,https://github.com/danielemichilli/DM_phase,GPL-3.0,2019-01-25 18:16:49,2023-11-28 19:52:35,2023-11-28 19:52:35,8.0,,5.0,21.0,68.0,,,,Tool to calculate the best dispersion measure for a burst using phase information.,,,8.0,8,,,,,,2.0,,,,
21,burstfit,thepetabyteproject/burstfit,burstfit,['python'],analysis,True,https://github.com/thepetabyteproject/burstfit/,https://github.com/thepetabyteproject/burstfit,GPL-3.0,2021-01-20 15:40:20,2021-07-14 16:29:35,2021-07-14 16:29:35,4.0,4.0,3.0,12.0,,2021-03-29 23:30:13.000,0.1.0,1.0,Spectro-temporal modeling of FRBs.,3.0,3.0,2.0,8,https://pypi.org/project/burstfit,2021-03-29 23:30:13.000,,50.0,50.0,2.0,,,,
22,burst_search,kiyo-masui/burst_search,,"['python', 'C']",Search,True,https://github.com/kiyo-masui/burst_search,https://github.com/kiyo-masui/burst_search,GPL-2.0,2014-07-28 20:54:02,2018-04-10 22:34:32,2018-02-27 06:05:03,6.0,1.0,,7.0,297.0,,,,Program to perform real-time and off-line searches for fast radio bursts in GBT GUPPI data.,,,18.0,8,,,,,,3.0,,,,
23,injectfrb,liamconnor/injectfrb,,['python'],Injection,True,https://github.com/liamconnor/injectfrb,https://github.com/liamconnor/injectfrb,,2019-02-25 10:14:02,2022-06-28 16:00:53,2022-06-28 15:59:11,5.0,3.0,,8.0,358.0,,,,Tools for simulating FRBs and injecting them into real data.,,,4.0,7,,,,,,1.0,,,,
24,IQRM,v-morello/iqrm,,['python'],rfi,True,https://github.com/v-morello/iqrm,https://github.com/v-morello/iqrm,MIT,2021-07-15 07:00:30,2023-09-05 18:59:10,2021-08-31 09:55:22,3.0,,,8.0,19.0,,,,A minimal implementation of the IQRM interference flagging algorithm for radio pulsar and transient searches.,,,,7,,,,,,3.0,,,,
25,casp,KshitijAggarwal/casp,,['python'],analysis,True,https://github.com/KshitijAggarwal/casp,https://github.com/KshitijAggarwal/casp,BSD-3-Clause,2020-03-12 03:19:24,2021-04-12 16:45:52,2021-04-12 16:45:52,,,,,25.0,2021-02-16 17:22:14.000,0.1.0,1.0,Calculating Association Probability of FRBs.,,,,7,,,,,,3.0,,,,
26,FRBSTATS,HeRTA/FRBSTATS,,,catalog,True,https://www.herta-experiment.org/frbstats/,https://github.com/HeRTA/FRBSTATS,GPL-3.0,2021-02-10 14:45:29,2023-03-19 15:53:08,2023-03-19 15:53:08,2.0,12.0,30.0,23.0,,,,,Repository for the FRBSTATS web platform.,,,3.0,6,,,,,,3.0,,,,
27,simpulse,kmsmith137/simpulse,,"['cpp', 'python']",Injection,True,https://github.com/kmsmith137/simpulse,https://github.com/kmsmith137/simpulse,,2016-06-08 17:18:15,2023-05-16 20:57:35,2022-03-03 18:11:24,9.0,,,14.0,76.0,,,,C++/python library for simulating FRB's and pulsars.,,,6.0,6,,,,,,2.0,,,,
28,astropath,FRBs/astropath,,['python'],analysis,True,https://github.com/FRBs/astropath,https://github.com/FRBs/astropath,BSD-3-Clause,2020-12-15 19:40:33,2024-10-03 18:50:11,2023-07-10 22:33:17,2.0,1.0,,12.0,,,,,,,,5.0,6,,,,,,3.0,,,,
29,dfdt,zpleunis/dfdt,,['python'],analysis,True,https://github.com/zpleunis/dfdt,https://github.com/zpleunis/dfdt,BSD-3-Clause,2020-09-18 01:48:08,2024-09-04 22:35:25,2024-09-04 22:35:12,1.0,,,9.0,,,,,Linear drift rate measurements for fast radio bursts.,,,4.0,6,,,,,,3.0,-1.0,,,
30,frbpa,KshitijAggarwal/frbpa,,['python'],analysis,True,https://github.com/KshitijAggarwal/frbpa,https://github.com/KshitijAggarwal/frbpa,BSD-3-Clause,2020-05-26 21:36:21,2020-08-21 17:30:27,2020-08-21 17:30:26,1.0,2.0,1.0,8.0,53.0,,,,FRB Periodicity Analysis.,,,2.0,6,,,,,,3.0,,,,
31,radio_transients,josephwkania/radio_transients,,"['python', 'C', 'cpp', 'CUDA']",containers,True,https://github.com/josephwkania/radio_transients,https://github.com/josephwkania/radio_transients,GPL-3.0,2021-03-06 05:27:00,2024-03-14 21:39:58,2024-03-14 21:39:50,2.0,,,7.0,32.0,,,,Singularity containers with common radio transient search software.,,,,6,,,,,,1.0,,,,
32,PreFRBLE,FRBs/PreFRBLE,,['python'],popsynth,True,https://github.com/FRBs/PreFRBLE,https://github.com/FRBs/PreFRBLE,,2019-02-17 22:20:43,2020-10-16 10:10:17,2020-10-16 10:09:10,,,,6.0,167.0,2020-05-28 14:02:00.000,1.0,1.0,PrEFRBLE: Probability Estimates for Fast Radio Burst to obtain model Likelihood Estimates.,,,3.0,6,,,,,,3.0,,,,
33,TPP-FRB121102,thepetabyteproject/FRB121102,,"['python', 'jupyter']",analysis,True,https://thepetabyteproject.github.io/FRB121102/,https://github.com/thepetabyteproject/FRB121102,GPL-3.0,2021-02-04 22:47:54,2021-08-16 21:56:56,2021-08-16 21:33:23,,,,11.0,,,,,Results and analysis scripts for FRB121102 burst analysis.,,,4.0,5,,,,,,3.0,,,,
34,FRB hosts,FRBs/FRBhostpage,,"['HTML', 'JS']",catalog,True,https://frbhosts.org/,https://github.com/FRBs/FRBhostpage,,2020-03-27 14:12:50,2022-02-21 17:42:28,2020-09-23 09:53:23,1.0,2.0,,,210.0,,,,Hosting for the FRB host webpage.,,,5.0,5,,,,,,3.0,,,,
35,SPANDAK,gajjarv/PulsarSearch,,['python'],Search,True,https://github.com/gajjarv/PulsarSearch,https://github.com/gajjarv/PulsarSearch,,2016-09-12 18:12:17,2024-06-25 15:29:46,2024-06-25 15:29:42,6.0,,,14.0,147.0,,,,,,,2.0,4,,,,,,3.0,,,,
36,Furby,vg2691994/Furby,,['python'],Injection,True,https://github.com/vg2691994/Furby,https://github.com/vivgastro/Furby,,2019-02-20 15:39:21,2022-06-22 04:52:11,2022-06-22 04:52:05,2.0,1.0,,9.0,37.0,,,,Mock FRB generator.,,,2.0,4,,,,,,3.0,,vivgastro/Furby,,
37,visualizations,josephwkania/visualizations,,['python'],Visualization,True,https://github.com/josephwkania/visualizations,https://github.com/josephwkania/visualizations,,2020-11-22 03:08:03,2021-05-19 18:13:19,2021-05-19 18:11:23,,,,7.0,6.0,,,,Visualizations of pulsar + FRB data processing.,,,,4,,,,,,1.0,,,,
38,DM_IGM,NihanPol/DM_IGM,,['python'],analysis,True,https://github.com/NihanPol/DM_IGM,https://github.com/NihanPol/DM_IGM,,2019-02-28 17:08:02,2019-08-15 14:01:19,2019-08-15 13:59:52,,,,2.0,21.0,2019-07-18 14:10:10.000,1.0.0,1.0,,,,4.0,4,,,,,,3.0,,,,
39,FRB.software,FRBs/FRBs.github.io,,[''],catalog,True,https://frb.software/,https://github.com/FRBs/FRBs.github.io,,2020-07-15 14:30:29,2021-07-26 20:13:37,2021-07-26 20:13:36,2.0,,,2.0,49.0,,,,FRB Community Software site.,,,5.0,4,,,,,,3.0,,,,
40,FRB Faker,,,['python'],Injection,True,https://gitlab.com/houben.ljm/frb-faker,,,2020-04-09 08:44:27,2020-04-09 08:44:27,,0.0,,2.0,3.0,,,,0.0,"Tool to inject SPs with complex morphologies in Filterbank data, either true or synthetic data.",,,,3,,,,,,3.0,,,houben.ljm/frb-faker,https://gitlab.com/houben.ljm/frb-faker
41,heimdall,pravirkr/heimdall,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/heimdall,https://github.com/pravirkr/heimdall,GPL-3.0,2020-10-03 06:11:42,2020-10-04 20:19:13,,,,,2.0,,,,,copy of the Heimdall single-pulse detection code.,,,2.0,3,,,,,,3.0,,,,
42,joy-plotter,josephwkania/joy-plotter,,['python'],Visualization,True,https://github.com/josephwkania/joy-plotter,https://github.com/josephwkania/joy-plotter,GPL-3.0,2020-06-26 17:11:05,2021-04-24 06:21:14,2021-04-24 06:21:04,,,,,27.0,,,,,,,2.0,3,,,,,,3.0,,,,
43,burstpy,pravirkr/burstpy,,['python'],analysis,True,https://github.com/pravirkr/burstpy,https://github.com/pravirkr/burstpy,,2021-05-16 21:34:49,2021-07-09 06:16:24,,,,,2.0,,,,,Single Pulse Tools.,,,1.0,2,,,,,,3.0,,,,
44,iqrm_apollo,,,['cpp'],rfi,True,https://gitlab.com/kmrajwade/iqrm_apollo,,,2020-04-21 15:21:39,2020-04-21 15:21:39,,1.0,,3.0,1.0,,,,0.0,A standalone code to clean narrow-band RFI using Inter-Quartile Range Mitigation (IQRM) algorithm. The code works on..,,,,2,,,,,,3.0,,,kmrajwade/iqrm_apollo,https://gitlab.com/kmrajwade/iqrm_apollo
45,Heimdall Candidate Plotter,,,['python'],Visualization,True,https://gitlab.com/houben.ljm/heim_cand_plotter,,,2019-04-24 12:07:26,2019-04-24 12:07:26,,1.0,,1.0,,,,,0.0,Plotter designed to ease the inspection of Heimdall candidates. Perform a visual coincidence check or inspect the..,,,,2,,,,,,3.0,,,houben.ljm/heim_cand_plotter,https://gitlab.com/houben.ljm/heim_cand_plotter
46,pydedisp,pravirkr/pydedisp,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/pydedisp,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
47,Filterbank Cleaner,,,['python'],rfi,True,https://gitlab.com/houben.ljm/fil_cleaner,,,,,,,,,,,,,,,,,,0,,,,,,,,,houben.ljm/fil_cleaner,
